loss,elapsed_budget,elapsed_time,error,pseudotime,num_objectives,info/sub-optim,seed,symmetry,n_iterations,function_class,parametrization,dimension,budget,num_workers,batch_mode,optimizer_name
-624.0728734264243,25.0,27.121452569961548,,25.0,1.0,Cobyla,-1,0,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-624.0728734264243,25.0,22.185516834259033,,25.0,1.0,Cobyla,-1,1,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-250.85321685932112,25.0,23.033778429031372,,25.0,1.0,Cobyla,-1,2,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-241.7721913198565,25.0,22.854111909866333,,25.0,1.0,Cobyla,-1,3,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-241.7721913198565,25.0,26.74918842315674,,25.0,1.0,Cobyla,-1,4,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-579.784405389223,25.0,23.569002389907837,,25.0,1.0,Cobyla,-1,5,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-241.7721913198565,25.0,23.555652618408203,,25.0,1.0,Cobyla,-1,6,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
inf,25.0,2.0727076530456543,,25.0,1.0,Cobyla,-1,7,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-579.784405389223,25.0,23.214193105697632,,25.0,1.0,Cobyla,-1,8,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-64.65835116314862,25.0,23.283316612243652,,25.0,1.0,Cobyla,-1,9,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-317.27752870646316,25.0,23.32653522491455,,25.0,1.0,Cobyla,-1,10,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-361.5201392869419,25.0,23.25727081298828,,25.0,1.0,Cobyla,-1,11,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-624.0728734264243,25.0,23.114859104156494,,25.0,1.0,Cobyla,-1,12,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-624.0728734264243,25.0,21.43435502052307,,25.0,1.0,Cobyla,-1,13,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
inf,25.0,2.4587900638580322,,25.0,1.0,Cobyla,-1,14,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-325.8168996563288,25.0,23.10625958442688,,25.0,1.0,Cobyla,-1,15,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-241.7721913198565,25.0,23.430729389190674,,25.0,1.0,Cobyla,-1,16,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-624.0728734264243,25.0,23.34591794013977,,25.0,1.0,,-1,0,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-624.0728734264243,25.0,23.444401025772095,,25.0,1.0,,-1,1,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-250.85321685932112,25.0,23.749654531478882,,25.0,1.0,,-1,2,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-241.7721913198565,25.0,23.327316522598267,,25.0,1.0,,-1,3,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-241.7721913198565,25.0,28.029932498931885,,25.0,1.0,,-1,4,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-579.784405389223,25.0,23.617653608322144,,25.0,1.0,,-1,5,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-241.7721913198565,25.0,23.733494997024536,,25.0,1.0,,-1,6,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
inf,25.0,2.355578660964966,,25.0,1.0,,-1,7,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-579.784405389223,25.0,23.300466060638428,,25.0,1.0,,-1,8,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-64.65835116314862,25.0,23.783771991729736,,25.0,1.0,,-1,9,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-317.27752870646316,25.0,23.40341830253601,,25.0,1.0,,-1,10,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-361.5201392869419,25.0,23.68188214302063,,25.0,1.0,,-1,11,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-624.0728734264243,25.0,23.57718539237976,,25.0,1.0,,-1,12,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-624.0728734264243,25.0,24.492745637893677,,25.0,1.0,,-1,13,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
inf,25.0,2.2676777839660645,,25.0,1.0,,-1,14,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-325.8168996563288,25.0,23.64707851409912,,25.0,1.0,,-1,15,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-241.7721913198565,25.0,21.333122730255127,,25.0,1.0,,-1,16,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-624.0728734264243,25.0,21.412391424179077,,25.0,1.0,CMAbounded,-1,0,1,Irrigation,irrigation8,8,25,1,True,CMA
-624.0728734264243,25.0,23.38071060180664,,25.0,1.0,CMAbounded,-1,1,1,Irrigation,irrigation8,8,25,1,True,CMA
