loss,elapsed_budget,elapsed_time,error,pseudotime,num_objectives,info/sub-optim,seed,symmetry,n_iterations,function_class,parametrization,dimension,budget,num_workers,batch_mode,optimizer_name
-624.0728734264243,25,123.96830320358276,,25.0,1,Cobyla,-1,0,1,Irrigation,irrigation8,8,25,1,True,NGOpt10
-624.0728734264243,100,3084.4420580863953,,100.0,1,,-1,0,1,Irrigation,irrigation8,8,100,1,True,CMandAS2
-624.0728734264243,200,3742.519590616226,,200.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,200,1,True,CMA
-624.0728734264243,25,151.6313352584839,,25.0,1,,-1,0,1,Irrigation,irrigation8,8,25,1,True,CMandAS2
-624.0728734264243,100,3099.0050899982452,,100.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,100,1,True,CMA
-624.0728734264243,200,3733.4300343990326,,200.0,1,,-1,0,1,Irrigation,irrigation8,8,200,1,True,DE
-624.0728734264243,25,163.20300102233887,,25.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,25,1,True,CMA
-624.0728734264243,100,3097.624582529068,,100.0,1,,-1,0,1,Irrigation,irrigation8,8,100,1,True,DE
-624.0728734264243,200,3706.3274385929108,,200.0,1,,-1,0,1,Irrigation,irrigation8,8,200,1,True,MetaModel
-624.0728734264243,25,144.44614124298096,,25.0,1,,-1,0,1,Irrigation,irrigation8,8,25,1,True,DE
-624.0728734264243,100,3079.566508293152,,100.0,1,,-1,0,1,Irrigation,irrigation8,8,100,1,True,MetaModel
-624.0728734264243,200,3731.469338655472,,7.0,1,MetaModel,-1,0,1,Irrigation,irrigation8,8,200,30,True,NGOpt10
-624.0728734264243,25,166.6868178844452,,25.0,1,,-1,0,1,Irrigation,irrigation8,8,25,1,True,MetaModel
-624.0728734264243,100,3089.970385789871,,4.0,1,NaiveTBPSA,-1,0,1,Irrigation,irrigation8,8,100,30,True,NGOpt10
-624.0728734264243,200,3722.1891462802887,,7.0,1,,-1,0,1,Irrigation,irrigation8,8,200,30,True,CMandAS2
-624.0728734264243,50,973.6574201583862,,50.0,1,Cobyla,-1,0,1,Irrigation,irrigation8,8,50,1,True,NGOpt10
-624.0728734264243,100,2481.5079233646393,,4.0,1,,-1,0,1,Irrigation,irrigation8,8,100,30,True,CMandAS2
-624.0728734264243,200,2727.346405506134,,7.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,200,30,True,CMA
-624.0728734264243,50,403.1295928955078,,50.0,1,,-1,0,1,Irrigation,irrigation8,8,50,1,True,CMandAS2
-624.0728734264243,100,2649.9088327884674,,4.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,100,30,True,CMA
-624.0728734264243,200,3596.679715871811,,7.0,1,,-1,0,1,Irrigation,irrigation8,8,200,30,True,DE
-624.0728734264243,50,989.5063583850861,,50.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,50,1,True,CMA
-624.0728734264243,100,2445.3978400230408,,4.0,1,,-1,0,1,Irrigation,irrigation8,8,100,30,True,DE
-624.0728734264243,200,3077.7574050426483,,7.0,1,,-1,0,1,Irrigation,irrigation8,8,200,30,True,MetaModel
-624.0728734264243,50,741.8492467403412,,50.0,1,,-1,0,1,Irrigation,irrigation8,8,50,1,True,DE
-624.0728734264243,100,2439.991662502289,,4.0,1,,-1,0,1,Irrigation,irrigation8,8,100,30,True,MetaModel
-624.0728734264243,200,3139.798734664917,,4.0,1,NaiveTBPSA,-1,0,1,Irrigation,irrigation8,8,200,60,True,NGOpt10
-624.0728734264243,50,407.3366684913635,,50.0,1,,-1,0,1,Irrigation,irrigation8,8,50,1,True,MetaModel
-624.0728734264243,100,2785.721233844757,,2.0,1,MetaTuneRecentering,-1,0,1,Irrigation,irrigation8,8,100,60,True,NGOpt10
-624.0728734264243,200,3580.230766057968,,4.0,1,,-1,0,1,Irrigation,irrigation8,8,200,60,True,CMandAS2
-624.0728734264243,50,1057.203626871109,,2.0,1,MetaTuneRecentering,-1,0,1,Irrigation,irrigation8,8,50,30,True,NGOpt10
-624.0728734264243,100,2757.625382900238,,2.0,1,,-1,0,1,Irrigation,irrigation8,8,100,60,True,CMandAS2
